affected_products,cvss,description,domain,evidence_path,exploit_available,include_reasons,indicator_id,indicator_type,item_id,kind,known_exploited,relevance_level,source,suggested_ai_use,tags,theme_matches,threat_type,title,value,vuln_id
,,Local test MISP phishing URL imitating Microsoft 365 login,login-example-ngo-support.lu,/Users/user/codeprojects/scan-assess-gui/modules/threatsucker/source/data/raw/misp/local_misp_dns_hit.json,,"[""high_impact_indicator_type: url"",""threat_focus: phishing"",""threat_focus: credential_theft"",""country_term: luxembourg, lu, .lu"",""sector_term: ngo"",""brand_term: microsoft 365, microsoft""]",9723ef3424020dc1,url,879914ca4ce0ecff,indicator,,profile_matched,misp_osint,Use as phishing or credential-theft context for Luxembourg NGO awareness and mailbox/DNS review.,"[""tlp:white"",""type:OSINT"",""phishing"",""Luxembourg""]","[{""id"":""credential_phishing"",""label"":""Credential phishing and account takeover"",""matched_terms"":[""login"",""microsoft"",""microsoft 365""],""broad_context_only"":false,""suggested_ai_use"":""Treat as awareness, mailbox, browser-history, and DNS-review context.""}]","[""phishing"",""credential_theft""]",url: https://login-example-ngo-support.lu/microsoft365/session,https://login-example-ngo-support.lu/microsoft365/session,
,,Phishing URL imitating Microsoft 365 login,login-example-ngo-support.lu,/Users/user/codeprojects/scan-assess-gui/modules/threatsucker/source/data/raw/misp/misp_event_sample.json,,"[""high_impact_indicator_type: url"",""threat_focus: phishing"",""threat_focus: credential_theft"",""country_term: luxembourg, lu, .lu"",""sector_term: ngo"",""brand_term: microsoft 365, microsoft""]",9723ef3424020dc1,url,879914ca4ce0ecff,indicator,,profile_matched,misp_osint,Use as phishing or credential-theft context for Luxembourg NGO awareness and mailbox/DNS review.,"[""tlp:white"",""type:OSINT"",""phishing"",""Luxembourg""]","[{""id"":""credential_phishing"",""label"":""Credential phishing and account takeover"",""matched_terms"":[""login"",""microsoft"",""microsoft 365""],""broad_context_only"":false,""suggested_ai_use"":""Treat as awareness, mailbox, browser-history, and DNS-review context.""}]","[""phishing"",""credential_theft""]",url: https://login-example-ngo-support.lu/microsoft365/session,https://login-example-ngo-support.lu/microsoft365/session,
,,PayPal invoice fraud lure used for payment redirection and credential theft,paypal-invoice-confirmation-portal.com,/Users/user/codeprojects/scan-assess-gui/modules/threatsucker/source/data/raw/misp/critical_dns_match_campaign.json,,"[""high_impact_indicator_type: domain"",""threat_focus: phishing"",""threat_focus: credential_theft"",""country_term: luxembourg"",""sector_term: invoice, payment"",""brand_term: paypal""]",09d2d3fb829666e0,domain,845ca84cab29d907,indicator,,profile_matched,misp_osint,Use as phishing or credential-theft context for Luxembourg NGO awareness and mailbox/DNS review.,"[""tlp:white"",""type:OSINT"",""phishing"",""credential-theft"",""brand-impersonation"",""invoice-fraud"",""Luxembourg""]","[{""id"":""donation_payment_fraud"",""label"":""Donation, payment, and invoice fraud"",""matched_terms"":[""invoice"",""payment"",""paypal""],""broad_context_only"":false,""suggested_ai_use"":""Treat as NGO workflow abuse context, especially for finance or fundraising staff.""}]","[""phishing"",""credential_theft""]",domain: paypal-invoice-confirmation-portal.com,paypal-invoice-confirmation-portal.com,
,,Office 365 password reset lure used for credential theft,office365-password-reset-verify.com,/Users/user/codeprojects/scan-assess-gui/modules/threatsucker/source/data/raw/misp/critical_dns_match_campaign.json,,"[""high_impact_indicator_type: domain"",""threat_focus: phishing"",""threat_focus: credential_theft"",""country_term: luxembourg"",""sector_term: invoice"",""brand_term: office 365""]",6be65398abdc2b49,domain,fe0feb9e57239d5d,indicator,,profile_matched,misp_osint,Use as phishing or credential-theft context for Luxembourg NGO awareness and mailbox/DNS review.,"[""tlp:white"",""type:OSINT"",""phishing"",""credential-theft"",""brand-impersonation"",""invoice-fraud"",""Luxembourg""]","[{""id"":""credential_phishing"",""label"":""Credential phishing and account takeover"",""matched_terms"":[""password"",""office 365""],""broad_context_only"":false,""suggested_ai_use"":""Treat as awareness, mailbox, browser-history, and DNS-review context.""},{""id"":""donation_payment_fraud"",""label"":""Donation, payment, and invoice fraud"",""matched_terms"":[""invoice""],""broad_context_only"":false,""suggested_ai_use"":""Treat as NGO workflow abuse context, especially for finance or fundraising staff.""}]","[""phishing"",""credential_theft""]",domain: office365-password-reset-verify.com,office365-password-reset-verify.com,
,,Lookalike Microsoft 365 login domain observed in credential theft campaign,login-micros0ft-security.com,/Users/user/codeprojects/scan-assess-gui/modules/threatsucker/source/data/raw/misp/critical_dns_match_campaign.json,,"[""high_impact_indicator_type: domain"",""threat_focus: phishing"",""threat_focus: credential_theft"",""country_term: luxembourg"",""sector_term: invoice"",""brand_term: microsoft 365, microsoft""]",7f9d97bda634a90b,domain,3d9543c0cde6e5f0,indicator,,profile_matched,misp_osint,Use as phishing or credential-theft context for Luxembourg NGO awareness and mailbox/DNS review.,"[""tlp:white"",""type:OSINT"",""phishing"",""credential-theft"",""brand-impersonation"",""invoice-fraud"",""Luxembourg""]","[{""id"":""credential_phishing"",""label"":""Credential phishing and account takeover"",""matched_terms"":[""login"",""microsoft"",""microsoft 365""],""broad_context_only"":false,""suggested_ai_use"":""Treat as awareness, mailbox, browser-history, and DNS-review context.""},{""id"":""donation_payment_fraud"",""label"":""Donation, payment, and invoice fraud"",""matched_terms"":[""invoice""],""broad_context_only"":false,""suggested_ai_use"":""Treat as NGO workflow abuse context, especially for finance or fundraising staff.""}]","[""phishing"",""credential_theft""]",domain: login-micros0ft-security.com,login-micros0ft-security.com,
,,Fake demo domain imitating BGL BNP Paribas invoice approval workflow,invoice-bgl-secure.lu,/Users/user/codeprojects/scan-assess-gui/modules/threatsucker/source/data/raw/misp/demo_invoice_fraud_event.json,,"[""high_impact_indicator_type: domain"",""threat_focus: phishing"",""threat_focus: credential_theft"",""country_term: luxembourg, lu, .lu"",""sector_term: invoice"",""brand_term: bgl bnp paribas""]",085b8683af161b64,domain,4f3c7ebfb1932c38,indicator,,profile_matched,misp_osint,Use as phishing or credential-theft context for Luxembourg NGO awareness and mailbox/DNS review.,"[""tlp:white"",""phishing"",""credential-theft"",""Luxembourg"",""invoice-fraud""]","[{""id"":""donation_payment_fraud"",""label"":""Donation, payment, and invoice fraud"",""matched_terms"":[""invoice"",""bgl bnp paribas""],""broad_context_only"":false,""suggested_ai_use"":""Treat as NGO workflow abuse context, especially for finance or fundraising staff.""}]","[""phishing"",""credential_theft""]",domain: invoice-bgl-secure.lu,invoice-bgl-secure.lu,
,,Fake demo DocuSign-themed phishing domain mentioning Luxembourg,docusign-lu-review.net,/Users/user/codeprojects/scan-assess-gui/modules/threatsucker/source/data/raw/misp/demo_invoice_fraud_event.json,,"[""high_impact_indicator_type: domain"",""threat_focus: phishing"",""threat_focus: credential_theft"",""country_term: luxembourg, lu"",""sector_term: invoice"",""brand_term: docusign""]",fa4af3c7dbcc064f,domain,b2bd6abe0a8058c4,indicator,,profile_matched,misp_osint,Use as phishing or credential-theft context for Luxembourg NGO awareness and mailbox/DNS review.,"[""tlp:white"",""phishing"",""credential-theft"",""Luxembourg"",""invoice-fraud""]","[{""id"":""donation_payment_fraud"",""label"":""Donation, payment, and invoice fraud"",""matched_terms"":[""invoice""],""broad_context_only"":false,""suggested_ai_use"":""Treat as NGO workflow abuse context, especially for finance or fundraising staff.""},{""id"":""document_signing_lure"",""label"":""Document-signing and cloud workflow lures"",""matched_terms"":[""docusign""],""broad_context_only"":false,""suggested_ai_use"":""Treat as document workflow lure context for staff training and mailbox review.""}]","[""phishing"",""credential_theft""]",domain: docusign-lu-review.net,docusign-lu-review.net,
,,PhishTank phishing URL for secure-paypal-donation.example.org,secure-paypal-donation.example.org,/Users/user/codeprojects/scan-assess-gui/modules/threatsucker/source/data/raw/phishtank/phishtank_lookup_sample.json,,"[""high_impact_indicator_type: url"",""threat_focus: phishing"",""threat_focus: credential_theft"",""sector_term: donation"",""brand_term: paypal""]",e7ef03dff83c4813,url,c78dd846556273e7,indicator,,profile_matched,phishtank_verified,Use as phishing or credential-theft context for Luxembourg NGO awareness and mailbox/DNS review.,"[""phishtank"",""verified""]","[{""id"":""credential_phishing"",""label"":""Credential phishing and account takeover"",""matched_terms"":[""login""],""broad_context_only"":false,""suggested_ai_use"":""Treat as awareness, mailbox, browser-history, and DNS-review context.""},{""id"":""donation_payment_fraud"",""label"":""Donation, payment, and invoice fraud"",""matched_terms"":[""donation"",""paypal""],""broad_context_only"":false,""suggested_ai_use"":""Treat as NGO workflow abuse context, especially for finance or fundraising staff.""}]","[""phishing"",""credential_theft""]",url: https://secure-paypal-donation.example.org/login,https://secure-paypal-donation.example.org/login,
,,Fake demo credential collection URL for finance staff,invoice-bgl-secure.lu,/Users/user/codeprojects/scan-assess-gui/modules/threatsucker/source/data/raw/misp/demo_invoice_fraud_event.json,,"[""high_impact_indicator_type: url"",""threat_focus: phishing"",""threat_focus: credential_theft"",""country_term: luxembourg, lu, .lu"",""sector_term: invoice, payment""]",61df1bd2894a81a2,url,6ec6c7230e9965f8,indicator,,profile_matched,misp_osint,Use as phishing or credential-theft context for Luxembourg NGO awareness and mailbox/DNS review.,"[""tlp:white"",""phishing"",""credential-theft"",""Luxembourg"",""invoice-fraud""]","[{""id"":""donation_payment_fraud"",""label"":""Donation, payment, and invoice fraud"",""matched_terms"":[""invoice"",""payment""],""broad_context_only"":false,""suggested_ai_use"":""Treat as NGO workflow abuse context, especially for finance or fundraising staff.""}]","[""phishing"",""credential_theft""]",url: https://invoice-bgl-secure.lu/payments/review,https://invoice-bgl-secure.lu/payments/review,
,,SharePoint document login lure used for credential theft,secure-sharepoint-document-login.com,/Users/user/codeprojects/scan-assess-gui/modules/threatsucker/source/data/raw/misp/critical_dns_match_campaign.json,,"[""high_impact_indicator_type: domain"",""threat_focus: phishing"",""threat_focus: credential_theft"",""country_term: luxembourg"",""sector_term: invoice""]",823a52efa992c0da,domain,d5ed4e79e34a81a1,indicator,,profile_matched,misp_osint,Use as phishing or credential-theft context for Luxembourg NGO awareness and mailbox/DNS review.,"[""tlp:white"",""type:OSINT"",""phishing"",""credential-theft"",""brand-impersonation"",""invoice-fraud"",""Luxembourg""]","[{""id"":""credential_phishing"",""label"":""Credential phishing and account takeover"",""matched_terms"":[""login""],""broad_context_only"":false,""suggested_ai_use"":""Treat as awareness, mailbox, browser-history, and DNS-review context.""},{""id"":""donation_payment_fraud"",""label"":""Donation, payment, and invoice fraud"",""matched_terms"":[""invoice""],""broad_context_only"":false,""suggested_ai_use"":""Treat as NGO workflow abuse context, especially for finance or fundraising staff.""},{""id"":""document_signing_lure"",""label"":""Document-signing and cloud workflow lures"",""matched_terms"":[""document"",""sharepoint""],""broad_context_only"":false,""suggested_ai_use"":""Treat as document workflow lure context for staff training and mailbox review.""}]","[""phishing"",""credential_theft""]",domain: secure-sharepoint-document-login.com,secure-sharepoint-document-login.com,
